GEOID,ct_x,ct_y
USA,-95,37.1
31039,-96.78741627,41.9163902
53069,-123.433483,46.29116736
35011,-104.4119464,34.34241356
31109,-96.68776239,40.78416516
31129,-98.0471728,40.17637838
72085,-65.8693154,18.18756716
46099,-96.79144031,43.67417021
48327,-99.82064027,30.88977682
6091,-120.5160102,39.58038051
21053,-85.1360216,36.72747658
39063,-83.66653261,41.00193644
48189,-101.8268733,34.07050721
1027,-85.8605432,33.26908388
48011,-101.3574011,34.9649227
39003,-84.10575231,40.7715168
13189,-82.48138294,33.48286763
55111,-89.94823414,43.4266556
5137,-92.15669793,35.85982472
41063,-117.1810289,45.57985214
42007,-80.34930681,40.68225951
28061,-89.11886913,32.01908505
29083,-93.79275764,38.38515599
8109,-106.2815412,38.08054391
37037,-79.25526965,35.70258021
49033,-111.2445015,41.63223115
40001,-94.65869232,35.88392125
39085,-81.25094152,41.91035084
51121,-80.38719837,37.17430771
47065,-85.1647524,35.18087413
35035,-105.7414447,32.6131388
35003,-108.4047622,33.91535284
1091,-87.78950126,32.24762179
56023,-110.6559531,42.26379358
29011,-94.34710188,37.5022954
48057,-96.6150755,28.43910362
51735,-76.27045937,37.15029383
54075,-80.00775803,38.33173381
48077,-98.20849208,33.78552431
51095,-76.77376873,37.31332155
31101,-101.6613586,41.19879048
31137,-99.4145435,40.51111037
22019,-93.35797411,30.22923643
22111,-92.37484324,32.83191198
40135,-94.75527046,35.49536198
1049,-85.80413818,34.4597704
36101,-77.38378827,42.26780908
42053,-79.23601446,41.51308438
22105,-90.40566495,30.62663173
51179,-77.45740701,38.42071409
26109,-87.50971135,45.52511974
18073,-87.1161243,41.02299769
13025,-81.98195811,31.19692376
13171,-84.13943542,33.07653927
18151,-85.000771,41.64387968
48361,-93.89387029,30.12128144
39047,-83.45608793,39.55986988
25015,-72.66377741,42.34016063
21003,-86.1904129,36.75132267
37001,-79.39942254,36.04370095
20073,-96.23265068,37.8777738
25025,-70.98556308,42.34865579
16051,-112.3112901,43.82012405
48177,-97.49253909,29.45674599
47115,-85.6219936,35.12935133
26007,-83.16519389,45.03110666
21231,-84.82858334,36.80125706
47185,-85.45520339,35.92635525
48147,-96.10682236,33.59380265
20043,-95.14680224,39.78807221
48265,-99.35014913,30.0614822
12053,-82.46842819,28.55616144
12129,-84.37562072,30.14777878
12131,-86.17155108,30.6184824
28017,-88.94787851,33.9207893
2130,-131.0464318,55.46086616
26035,-84.84787068,43.98788569
20157,-97.65062918,39.8277889
12127,-81.14855636,29.06344255
40017,-97.98239433,35.54245561
72115,-66.92622623,18.46294141
78030,-64.96711153,18.32862545
13115,-85.2142356,34.26320688
32001,-118.3357421,39.58087345
31181,-98.49994211,40.1764246
17067,-91.16467606,40.4037718
46067,-97.75442398,43.33483347
41013,-120.3565773,44.14217826
50011,-72.91203229,44.85751732
26103,-87.57352363,46.6628751
9007,-72.52309756,41.43537718
37057,-80.2127491,35.79337172
17025,-88.49024154,38.75418506
29103,-92.14807371,40.12824606
29117,-93.54827681,39.78209886
42117,-77.25427109,41.77215169
31043,-96.56450963,42.39112591
26089,-86.03849927,45.15176756
51181,-76.88835219,37.11688034
48391,-97.1594579,28.32163488
39017,-84.5756368,39.43859289
13273,-84.43695712,31.77689112
13063,-84.35762547,33.54189092
56013,-108.630437,43.04052886
18115,-84.96509916,38.95013891
13073,-82.26403055,33.54410868
8115,-102.3517915,40.87590568
30065,-108.3981405,46.49653208
42043,-76.77948478,40.41541974
46101,-96.67093041,44.02200289
54079,-81.90897227,38.508626
34037,-74.69077472,41.13927608
20039,-100.4598947,39.78474695
18123,-86.63797228,38.0796821
28145,-89.00386611,34.49047859
31015,-98.76646397,42.89970777
27095,-93.63007531,45.93803402
38099,-97.72138953,48.36945956
39115,-81.85265964,39.62035728
39133,-81.19739106,41.16767967
56041,-110.54758,41.28748349
32013,-118.1119659,41.40684346
48247,-98.69729854,27.04340935
8017,-102.6033959,38.82794357
41005,-122.2208109,45.18803571
5113,-94.22807289,34.48585195
13193,-84.04248899,32.35837131
18007,-87.31091181,40.60625155
47129,-84.6492328,36.1350421
46043,-98.36606405,43.38691336
24047,-75.2966992,38.21649345
17185,-87.84439606,38.44609262
18069,-85.48815923,40.82921508
21209,-84.5840233,38.29144587
19053,-93.78628818,40.73767948
18169,-85.7940054,40.8456746
18003,-85.06655565,41.09087442
18099,-86.26178363,41.32485434
31171,-100.5558432,41.91349973
38085,-101.0404766,46.11262579
48127,-99.75671977,28.42253472
27045,-92.09016831,43.67398085
45023,-81.15953161,34.69203851
27073,-96.17353922,44.99546849
49005,-111.7436438,41.72241459
55093,-92.42250231,44.71963138
13049,-82.13762127,30.78176634
13233,-85.18816179,34.0017877
17113,-88.84731863,40.49088905
23001,-70.20640752,44.16588012
16055,-116.7017585,47.67434904
32003,-115.0135714,36.21519525
20147,-99.34700187,39.78458412
31089,-98.78384298,42.45571938
29101,-93.8063696,38.74407994
55063,-91.1152184,43.90653059
22021,-92.11665133,32.09225688
21061,-86.23863327,37.20881357
17005,-89.43553884,38.88683275
17009,-90.75027879,39.96183138
27085,-94.27241349,44.82354042
55033,-91.89641955,44.9465765
8027,-105.3674458,38.10868041
29123,-90.34500893,37.47810485
48353,-100.4060478,32.30349287
42127,-75.3032528,41.64869046
36091,-73.86389137,43.10738611
48041,-96.30237015,30.66078925
40095,-96.76912018,34.02449736
24001,-78.69747174,39.62150121
54103,-80.63914735,39.60523029
55053,-90.80518678,44.31912986
41007,-123.7169538,46.01752028
53041,-122.3926294,46.57776923
36003,-78.02756272,42.25740517
19031,-91.13241429,41.77232223
18117,-86.49507194,38.54177481
13089,-84.22645742,33.77158846
13227,-84.46565645,34.4643402
30015,-110.4351979,47.88056964
31017,-99.92948952,42.4300282
47013,-84.14940709,36.40354447
37069,-78.28570057,36.08279897
24510,-76.61065221,39.30097583
20111,-96.15263571,38.45618322
19027,-94.86057817,42.03621678
22107,-91.34001947,32.00169583
47123,-84.25279471,35.44267166
20075,-101.7912641,37.99913177
19151,-94.67872431,42.73412743
16045,-116.3974984,44.06155943
5063,-91.5697092,35.74158338
5085,-91.88867707,34.7542516
18111,-87.39753964,40.95584771
13119,-83.22919168,34.37545181
12051,-81.16590252,26.55347999
13265,-82.87875954,33.56611593
48245,-94.15347652,29.85375047
30059,-110.8856959,46.59821486
8067,-107.8432891,37.28657952
48027,-97.47822155,31.03766529
28069,-88.64117126,32.75455544
5019,-93.17637437,34.05100539
41035,-121.6501213,42.68639846
36075,-76.20869293,43.46386551
72105,-66.25257604,18.28851489
1019,-85.60379782,34.17592906
48019,-99.24622854,29.74719299
30087,-106.7307311,46.22965397
35059,-103.4709645,36.48165666
26153,-86.17728756,46.0424886
36111,-74.25854877,41.88815708
34007,-74.95972027,39.80357238
17083,-90.356681,39.08566195
51085,-77.49116109,37.7601232
20199,-101.7635695,38.91665096
26003,-86.57216486,46.94827161
5049,-91.81822048,36.38167529
48215,-98.18106589,26.39673113
37155,-79.10389796,34.64026938
26123,-85.80092387,43.55417093
41049,-119.584267,45.41899427
27153,-94.89758693,46.07064597
5083,-93.71630214,35.21528663
37109,-81.22354102,35.48558732
5091,-93.89156027,33.31211532
12095,-81.32339746,28.51439228
8111,-107.6761296,37.76408162
16041,-111.8132532,42.18104
13045,-85.07973534,33.58280176
20161,-96.73524461,39.2965671
48413,-100.538547,30.89744399
51167,-82.09536406,36.93388745
37027,-81.54643688,35.95300926
16065,-111.6592021,43.78412302
18173,-87.27206399,38.09216779
21001,-85.28064925,37.10415477
21077,-84.85930018,38.75685189
21097,-84.33144669,38.44174921
23023,-69.83932387,43.91172386
30097,-109.9410094,45.81387225
48181,-96.67770864,33.62677736
42059,-80.22292224,39.85380558
2188,-160.0069766,67.00817047
20051,-99.31722894,38.91475597
1065,-87.62910872,32.76271378
1105,-87.29438683,32.63846738
1033,-87.80497572,34.70040986
20151,-98.73959568,37.64773415
21017,-84.21715602,38.20670642
47149,-86.41674424,35.84273051
13075,-83.43049129,31.15401805
20101,-100.466393,38.48129579
40059,-99.66734137,36.78873265
17147,-88.59110997,40.01036088
48107,-101.2999581,33.61462425
72053,-65.60651918,18.36223705
1063,-87.95221741,32.85308532
16033,-112.351308,44.28387716
19109,-94.20671489,43.20411975
72151,-65.86338485,18.05607529
38013,-102.5182263,48.79099136
37063,-78.87658078,36.03603059
19085,-95.81690596,41.68283138
31103,-99.71236185,42.87881424
19187,-94.18175192,42.42793938
17151,-88.56157016,37.41267714
47159,-85.95668777,36.25060052
51089,-79.87394016,36.68279255
51510,-77.08610985,38.81841753
19101,-91.94888004,41.03174822
30049,-112.3904454,47.12242101
49013,-110.4251814,40.29827131
40003,-98.32401534,36.73097241
48119,-95.67215673,33.3863391
47169,-86.15675646,36.39209491
21193,-83.22143633,37.24428225
46039,-96.66796549,44.76005662
41029,-122.7285111,42.43216167
72067,-67.11393745,18.13416504
48507,-99.76059426,28.86622024
31007,-103.7104894,41.54596985
19121,-94.01554624,41.33071884
12011,-80.45588907,26.15185341
13279,-82.33133177,32.12165883
26151,-82.64574834,43.44331419
48397,-96.40778013,32.89776105
26163,-83.2611063,42.28473435
27105,-95.75337997,43.67424499
27001,-93.41544034,46.60824944
38071,-98.72016266,48.26891945
37145,-78.97181258,36.39009509
20195,-99.87274091,38.91431536
28151,-90.94744837,33.28373448
48133,-98.83233019,32.32706847
28055,-90.98916253,32.74135226
48123,-97.35674898,29.08208706
48005,-94.61190254,31.25470181
45081,-81.7268714,34.00610214
29125,-91.92490035,38.16162429
5001,-91.37489649,34.29079015
29109,-93.83294268,37.10635754
17011,-89.52868279,41.40414305
39145,-82.99283769,38.80394432
37115,-82.70569858,35.85801487
16053,-114.2639762,42.68989264
39163,-82.48535644,39.2509934
48309,-97.20180148,31.55236261
16037,-114.2817648,44.24114172
19089,-92.31717284,43.35676347
12099,-80.4365209,26.64756546
13181,-82.45118795,33.79360465
1013,-86.68027758,31.75245118
47165,-86.46036129,36.46939311
51097,-76.89517753,37.71853399
5015,-93.53828215,36.34105307
2220,-135.3049647,57.17977411
41051,-122.4148514,45.54679501
47061,-85.72257119,35.38835006
27057,-94.91662605,47.10864755
38081,-97.6307462,46.10793323
36089,-75.06894054,44.49639882
29179,-90.96907959,37.36230773
6067,-121.3442217,38.44932497
39125,-84.58019058,41.11661902
18179,-85.22122064,40.72919321
51063,-80.3625175,36.93154764
6083,-120.030749,34.53843026
54005,-81.71118909,38.02292753
28009,-89.18845911,34.81728061
21055,-88.09744651,37.3526269
19147,-94.67812963,43.08205232
19159,-94.24399434,40.73518809
37151,-79.80601693,35.71033904
24015,-75.94808271,39.5623984
18171,-87.35335756,40.34690339
31077,-98.52123669,41.56744261
31095,-97.14272823,40.17575817
31151,-97.14091057,40.52405764
21119,-82.95409757,37.35400569
19045,-90.53195568,41.89804537
27063,-95.15408477,43.67416499
27039,-92.86206804,44.02256112
27047,-93.34881669,43.67384225
6009,-120.5541587,38.20461045
25001,-70.23814499,41.77346885
51119,-76.50594734,37.62272609
42065,-78.9994276,41.12816479
18089,-87.3763869,41.47220623
47003,-86.45891959,35.51386129
47027,-85.5438499,36.55111657
17029,-88.22178053,39.52027937
47097,-89.6314447,35.76103123
41001,-117.6753786,44.70917138
36097,-76.87520389,42.39379776
26159,-86.30641732,42.28509956
17131,-90.74144613,41.2053292
21127,-82.73474914,38.06784745
21175,-83.25892076,37.92232098
21177,-87.14206645,37.21579102
17049,-88.58986743,39.05976079
47105,-84.31176843,35.73477577
46025,-97.72950284,44.85824997
15003,-164.7367636,23.71864375
12041,-82.80033252,29.72583241
18157,-86.89411585,40.38861437
42109,-77.070151,40.76984363
48277,-95.57124542,33.6673077
12086,-80.49867386,25.60899893
31057,-101.6879654,40.17621734
48289,-95.99559929,31.29654381
8097,-106.9165975,39.21709974
38035,-97.45693333,47.92192082
18091,-86.74237472,41.54901695
18057,-86.05202848,40.0724956
40081,-96.8809273,35.70298782
20071,-101.8059803,38.48053168
13145,-84.90893037,32.73600048
13251,-81.61188285,32.75061011
72127,-66.06833232,18.422155
48433,-100.2533028,33.17912326
39069,-84.0682358,41.3338562
33009,-71.82072839,43.94068865
29145,-94.33925177,36.90549797
18129,-87.86848304,38.02184473
48311,-98.56784611,28.35268301
17035,-88.24022834,39.27330362
13297,-83.73382731,33.78157444
27121,-95.44446501,45.58601129
51157,-78.15919154,38.6848318
51009,-79.14516958,37.60481692
6111,-119.1259873,34.3576018
17033,-87.75961543,39.00267968
8093,-105.7171724,39.11929823
6037,-118.2609829,34.1980898
4027,-113.9055787,32.76939454
13129,-84.87569509,34.50337777
19025,-94.64041548,42.38517112
12055,-81.34099222,27.34337746
50017,-72.37688931,44.00564605
20113,-97.64808772,38.39166341
4021,-111.3447083,32.90435992
39051,-84.13008204,41.60177869
8003,-105.7883034,37.57288645
12017,-82.52013616,28.84761596
72049,-65.30083507,18.32333623
72051,-66.26201192,18.4719682
47041,-85.83282882,35.97991008
42031,-79.42101084,41.19241695
46097,-97.610233,44.02194458
46073,-98.6297145,44.0663236
18031,-85.50112875,39.30699876
18037,-86.87981431,38.3642923
51057,-76.94084454,37.93903841
45089,-79.72765965,33.61992025
36031,-73.77273132,44.1172063
19195,-93.26083371,43.37740166
40063,-96.25024229,35.04833746
51027,-82.0359601,37.26668069
51005,-80.00610014,37.78777694
28087,-88.44326492,33.47290995
18143,-85.74750203,38.68510469
8099,-102.393346,37.95518638
48435,-100.5382034,30.49828115
72121,-66.94331745,18.0836018
40101,-95.37951637,35.61608496
29043,-93.18882729,36.96956421
72039,-66.51640313,18.28905568
28073,-89.5087001,31.20586349
18137,-85.26237536,39.10346252
38057,-101.8315325,47.30922807
13147,-82.96422983,34.35093269
22049,-92.55774787,32.30203858
51133,-76.37950677,37.85468569
48157,-95.77092468,29.52750733
55047,-89.0448774,43.80038043
30073,-112.226632,48.22795251
55127,-88.54191007,42.66848515
32021,-118.4352132,38.53880939
17057,-90.20745302,40.47277338
36103,-72.68523557,40.94045986
18161,-84.92515432,39.62554011
29119,-94.34835942,36.62866297
31157,-103.7079408,41.85060416
35047,-104.8159907,35.48061411
1081,-85.35556214,32.60112972
48367,-97.80510639,32.77765276
38021,-98.5046985,46.11011327
38003,-98.07156701,46.93610038
27143,-94.23217248,44.57948383
13293,-84.29932933,32.88134059
6097,-122.922549,38.52527999
26033,-84.52937364,46.32816964
16019,-111.6147504,43.38774146
13013,-83.71277263,33.9931909
13183,-81.74584835,31.75254712
48271,-100.4179545,29.3502057
40115,-94.81043986,36.83550394
42033,-78.47406952,41.00018565
26037,-84.60152204,42.94364942
72133,-66.38675946,17.95303021
17135,-89.47889277,39.23104288
28003,-88.58025266,34.88077382
28071,-89.48493544,34.35670793
22043,-92.55950405,31.59966393
29005,-95.4280801,40.43085283
17115,-88.96159766,39.85997807
26149,-85.52774468,41.91442403
17055,-88.92414195,37.99229317
30033,-106.9928742,47.27761079
31001,-98.50118908,40.52445078
27109,-92.40177817,44.00374755
34039,-74.30813512,40.65987776
72139,-65.99888576,18.33611942
1097,-88.19752756,30.68517764
46087,-97.36845632,43.67430247
1057,-87.73884412,33.72119287
1017,-85.39201474,32.91434737
37131,-77.39691229,36.41770082
8081,-108.2072936,40.61841743
21087,-85.55312846,37.264097
18047,-85.06025101,39.41487194
37013,-76.84521985,35.4869668
72073,-66.58831132,18.21073307
38015,-100.4687187,46.97740378
37159,-80.52475978,35.6394776
26071,-88.53052634,46.20865999
27067,-95.0047407,45.15237389
21237,-83.49324457,37.73935081
48149,-96.9197609,29.87679388
46081,-103.7922337,44.35863307
23029,-67.60907104,44.96947572
48045,-101.2086023,34.53026045
26131,-89.43473563,47.0221861
28015,-89.92017543,33.44849493
41003,-123.4292247,44.49181287
27133,-96.25320115,43.6746152
42063,-79.08753427,40.65206362
22061,-92.66475862,32.60164643
42099,-77.26235451,40.39837213
46137,-101.6658748,44.98042314
48203,-94.37148676,32.54813807
26013,-88.3521912,46.69969551
40131,-95.60435147,36.37158452
29019,-92.30965277,38.99059442
72097,-67.60509863,18.18309749
40015,-98.37514173,35.17436695
8059,-105.2504776,39.58648734
54011,-82.2417227,38.42025173
48383,-101.5230081,31.36618892
5141,-92.515689,35.58063604
8117,-106.1163752,39.63421444
20035,-96.83747923,37.23774808
5071,-93.45988981,35.57008004
36041,-74.49735424,43.66110318
51045,-80.21139882,37.48168786
48083,-99.45364548,31.77317069
2290,-151.3896063,65.50864956
4017,-110.3214049,35.3995455
28085,-90.45398446,31.53238496
48357,-100.815649,36.27840033
48103,-102.5155358,31.42848465
56003,-107.9952038,44.52671246
47081,-87.4733332,35.80330027
28143,-90.3754919,34.65195396
29081,-93.99206443,40.3546594
72029,-65.88794864,18.32910349
18005,-85.89761473,39.20592729
13223,-84.86729063,33.92055346
39015,-83.86742057,38.9340549
47141,-85.49507574,36.14089935
38101,-101.5418097,48.2217268
25027,-71.90772247,42.35137277
39091,-83.76588796,40.38845312
6031,-119.8154639,36.07536683
6073,-116.7702048,33.02819788
72123,-66.26197451,17.97297643
13079,-83.98630531,32.71453218
72103,-65.73607787,18.21107106
29037,-94.35480569,38.64698008
36027,-73.74286275,41.7651418
48477,-96.40338686,30.21453073
8101,-104.5128521,38.17342744
29067,-92.49878922,36.93259148
38009,-100.8333293,48.79215448
37051,-78.82751577,35.04862264
56017,-108.442115,43.71893811
26001,-83.12900478,44.68362165
6061,-120.7176551,39.06341154
5129,-92.69949369,35.91089925
48305,-101.8161281,33.17682571
36077,-75.03254054,42.63378029
37153,-79.74778848,35.0060689
37093,-79.2373244,35.0174906
31131,-96.13475808,40.64850739
42023,-78.20378724,41.43680757
45035,-80.40557175,33.07950205
27161,-93.58726044,44.02211224
46015,-99.08093811,43.71804104
47177,-85.77844416,35.67868358
17023,-87.78771912,39.33354982
21201,-84.05191976,38.51900456
47095,-89.49340693,36.33547152
45015,-79.95104067,33.19772008
5051,-93.15043223,34.57669644
20139,-95.72694167,38.65233291
39155,-80.7611651,41.31718542
48333,-98.59545002,31.49518871
48359,-102.6028704,35.40503805
42019,-79.91299992,40.9117145
16049,-115.4675301,45.84419723
20115,-97.09689918,38.35887334
51029,-78.52867954,37.57219996
37025,-80.55182562,35.3867881
29225,-92.87588146,37.28089883
49011,-112.1112692,40.99007866
27033,-95.18114017,44.0070955
12093,-80.88864282,27.38630204
13291,-83.99079353,34.83400021
19013,-92.3088365,42.47008614
48403,-93.85176133,31.34325047
39131,-83.06685613,39.0773643
1125,-87.52503321,33.28954029
1131,-87.30821233,31.98919668
28097,-89.61642277,33.49409919
31099,-98.94801053,40.50669908
31087,-101.0422771,40.1763407
10003,-75.6389749,39.57824093
16081,-111.2076097,43.75943799
17161,-90.56726648,41.46741754
51073,-76.52298345,37.40124056
5133,-94.24115777,33.99717055
18017,-86.34593458,40.76148406
16077,-112.8406748,42.69364696
18015,-86.56348959,40.58286727
42101,-75.13397558,40.00762243
56043,-107.6828532,43.9049938
37029,-76.16095804,36.34111908
36109,-76.47366034,42.45200424
5069,-91.93150751,34.26878065
5079,-91.73332449,33.95744744
55123,-90.83439663,43.59385467
29093,-90.77349124,37.55516007
48223,-95.56396642,33.14957754
36001,-73.97354742,42.60018551
48225,-95.4226699,31.31771647
39111,-81.08291697,39.72734493
20165,-99.30923888,38.52316512
18107,-86.89332044,40.04037563
20187,-101.7841548,37.56305267
21129,-83.71623397,37.59476843
27071,-93.78337036,48.24526203
48029,-98.52002471,29.44897595
8013,-105.3577441,40.09244814
47089,-83.44624589,36.05099239
40097,-95.23084492,36.30187598
27165,-94.61404334,43.97841194
16013,-113.9801455,43.41194883
22053,-92.814153,30.26776239
46119,-100.1321761,44.71556633
8031,-104.8759113,39.76188092
40029,-96.29784248,34.58817403
30011,-104.5361556,45.51674456
48461,-102.0430375,31.36872743
18051,-87.58463052,38.3117906
31105,-103.7149483,41.1976439
17093,-88.42885264,41.59053948
11001,-77.01631774,38.90473012
8085,-108.2694536,38.40215412
27171,-93.9630467,45.17394078
55059,-87.65312696,42.57849806
8037,-106.6952798,39.62783084
6075,-122.6939455,37.75971877
8113,-108.4059207,38.00375183
2020,-149.1885744,61.14826006
12109,-81.40988265,29.91217213
28019,-89.2484012,33.34732673
29079,-93.56533118,40.11393406
26085,-85.80164316,43.99008156
26139,-86.42186651,42.94853852
17031,-87.64616131,41.89541603
17059,-88.23053007,37.76272718
45047,-82.12587257,34.15384622
20059,-95.2859826,38.56451333
27027,-96.49061743,46.89228817
47075,-89.28383463,35.58321967
49003,-113.0820507,41.52101156
28139,-88.90890454,34.76837883
54051,-80.66337827,39.86059871
54035,-81.67478081,38.83446048
16039,-115.4692708,43.35386068
24005,-76.61634781,39.44304516
38005,-99.36605974,48.06936756
29163,-91.17135929,39.34384315
39087,-82.5367423,38.59848715
29201,-89.56854866,37.053003
39001,-83.4721735,38.84552788
48143,-98.21797194,32.2362608
13137,-83.53114973,34.63098185
13319,-83.1711939,32.8023995
54061,-80.04653644,39.63027586
39033,-82.91976384,40.85077125
12027,-81.80929142,27.18632965
9011,-72.10656884,41.4668127
39059,-81.49423879,40.05204311
26015,-85.30895142,42.59501838
29209,-93.45598343,36.7469531
51760,-77.47574033,37.52948198
37169,-80.2395175,36.40190304
19039,-93.78517024,41.02901422
19065,-91.84435718,42.86261351
6041,-122.7487991,38.05516587
48381,-101.8969462,34.96583899
48401,-94.76186557,32.10772309
19181,-93.56134571,41.33435026
39161,-84.5860904,40.85538465
12043,-81.18900893,26.95644946
13199,-84.68830312,33.0406184
8023,-105.4282137,37.27794992
48099,-97.79921275,31.39091334
19001,-94.47095331,41.33071715
13053,-84.78702341,32.34698297
6043,-119.9054938,37.58149027
29089,-92.69625226,39.14249287
41047,-122.5849945,44.903359
55079,-87.58054264,43.0154559
27139,-93.5359448,44.6484669
39129,-83.02436685,39.64192351
51145,-77.91514026,37.55019931
8014,-105.0525162,39.95420829
47099,-87.39558742,35.21729477
26009,-85.17579841,45.00738596
45069,-79.67869292,34.60205773
16009,-116.6586309,47.21750836
17103,-89.30041512,41.74617985
31127,-95.84982722,40.38763051
37031,-76.53568759,34.86127507
20149,-96.34238225,39.37895959
26075,-84.42344229,42.2484783
48091,-98.27825127,29.80818896
25019,-70.12813415,41.30123781
45009,-81.054208,33.21471559
48007,-96.99142998,28.08470517
13019,-83.22957086,31.27601935
18165,-87.46399473,39.85378697
26143,-84.61159714,44.33560818
37005,-81.12783575,36.49126106
6035,-120.5943338,40.67359604
12081,-82.35755166,27.47753793
39119,-81.94436108,39.96539762
8015,-106.1941002,38.7469472
8025,-103.7848313,38.32664559
8043,-105.4397053,38.4729919
28109,-89.5898142,30.76862841
28111,-88.99232028,31.17201999
31041,-99.72615844,41.39426273
12013,-85.19719403,30.40605751
21117,-84.53331835,38.93343224
19037,-92.31766658,43.06003513
17037,-88.77030691,41.89352098
19081,-93.73426978,43.08190226
38089,-102.6551433,46.81067248
26095,-85.56411489,46.71400884
40019,-97.28577521,34.25085819
37139,-76.24923088,36.26500976
35055,-105.6310504,36.57814866
28011,-90.88038768,33.79556919
32023,-116.4719359,38.04237977
47073,-82.94479028,36.44110198
38011,-103.5207107,46.11261135
42057,-78.11267869,39.92530125
22055,-92.06393553,30.20682387
48237,-98.17245173,33.23347241
17175,-89.79751576,41.09336136
40055,-99.56078707,34.93569608
48211,-100.2704768,35.83755462
16069,-116.7502829,46.32685066
46129,-100.0315494,45.42993415
6055,-122.3305467,38.50641255
40033,-98.37225237,34.29022851
29221,-90.87740931,37.96169207
36011,-76.57436842,43.01032397
48417,-99.3540631,32.73597638
48407,-95.16693176,30.57948189
19061,-90.88254249,42.46879816
51075,-77.91579959,37.72164467
20181,-101.71998,39.35142189
39139,-82.53652685,40.77469644
17001,-91.18849531,39.98791394
39021,-83.76947877,40.13768498
33019,-72.22225553,43.36124618
17075,-87.82429941,40.74722083
19157,-92.53147124,41.68644685
39169,-81.88804895,40.8288638
13113,-84.49421139,33.41398025
13141,-83.00069989,33.27042685
48259,-98.71155561,29.94471149
36039,-74.12277602,42.27652894
51137,-78.01363094,38.24624294
40089,-94.77132292,34.1153385
13277,-83.5265884,31.45744037
31025,-96.14089834,40.90972813
46077,-97.49147782,44.36958038
56009,-105.5070722,42.97231794
36043,-74.96249781,43.41970912
38047,-99.47748735,46.45734438
26053,-89.79548937,46.49548343
27005,-95.67391677,46.93463483
1095,-86.3066588,34.366962
47173,-83.83749812,36.28785528
54057,-78.94378319,39.4146761
55003,-90.56450767,46.7007297
17053,-88.22325243,40.59716722
38029,-100.2387923,46.28502795
6089,-122.0404928,40.76378471
22113,-92.3043061,29.80944424
5121,-91.02775773,36.34145039
55085,-89.52183906,45.70555287
22035,-91.23505314,32.73264556
22037,-91.04551312,30.84504327
22087,-89.3041509,29.90473385
48481,-96.22210512,29.27784218
2198,-133.1930245,55.7271706
2195,-133.0024389,57.11401498
48153,-101.3032372,34.07241726
2275,-132.1292109,56.29361731
21151,-84.2780326,37.72015078
47009,-83.92551317,35.68721559
30031,-111.1703867,45.5404228
45031,-79.95775577,34.33237191
1053,-87.16166973,31.1261131
13143,-85.21100071,33.79423308
20001,-95.30137447,37.88573251
17041,-88.21736785,39.76946442
51079,-78.46684173,38.29758605
66010,144.7694634,13.44278227
55137,-89.24290263,44.11311841
5065,-91.91342444,36.09486682
6053,-121.3088331,36.23975865
35017,-108.3824606,32.73900225
29131,-92.4284055,38.21452872
37193,-81.1633816,36.20628891
2110,-134.2119964,58.43451423
